,REF_DATE,VALUE,Age group
11385,2001,89689.0,All ages
72795,2002,91403.0,All ages
134205,2003,92924.0,All ages
195615,2004,94394.0,All ages
257025,2005,96150.0,All ages
318435,2006,98666.0,All ages
379845,2007,101924.0,All ages
441255,2008,104329.0,All ages
502665,2009,106433.0,All ages
564075,2010,108493.0,All ages
625485,2011,109774.0,All ages
686895,2012,111288.0,All ages
748305,2013,113439.0,All ages
809715,2014,116088.0,All ages
871125,2015,118428.0,All ages
932535,2016,120987.0,All ages
993945,2017,122403.0,All ages
1055355,2018,124687.0,All ages
1116765,2019,126927.0,All ages
1178175,2020,128795.0,All ages
1239585,2021,130088.0,All ages
1300995,2022,133064.0,All ages
