,REF_DATE,VALUE,Age group
43470,2001,63363.0,All ages
104880,2002,64610.0,All ages
166290,2003,65779.0,All ages
227700,2004,67396.0,All ages
289110,2005,69305.0,All ages
350520,2006,71224.0,All ages
411930,2007,72900.0,All ages
473340,2008,74095.0,All ages
534750,2009,74889.0,All ages
596160,2010,75040.0,All ages
657570,2011,75249.0,All ages
718980,2012,76139.0,All ages
780390,2013,76951.0,All ages
841800,2014,77570.0,All ages
903210,2015,78162.0,All ages
964620,2016,78380.0,All ages
1026030,2017,78573.0,All ages
1087440,2018,78962.0,All ages
1148850,2019,79155.0,All ages
1210260,2020,79322.0,All ages
1271670,2021,79271.0,All ages
1333080,2022,80126.0,All ages
