,REF_DATE,VALUE,Age group
1725,2001,123093.0,All ages
63135,2002,124560.0,All ages
124545,2003,126103.0,All ages
185955,2004,127702.0,All ages
247365,2005,128823.0,All ages
308775,2006,130507.0,All ages
370185,2007,132060.0,All ages
431595,2008,133860.0,All ages
493005,2009,136211.0,All ages
554415,2010,138425.0,All ages
615825,2011,140698.0,All ages
677235,2012,142871.0,All ages
738645,2013,144217.0,All ages
800055,2014,145708.0,All ages
861465,2015,146367.0,All ages
922875,2016,148467.0,All ages
984285,2017,150438.0,All ages
1045695,2018,152560.0,All ages
1107105,2019,155891.0,All ages
1168515,2020,159177.0,All ages
1229925,2021,162824.0,All ages
1291335,2022,171608.0,All ages
