,REF_DATE,VALUE,Age group
3795,2001,3626699.0,All ages
65205,2002,3663840.0,All ages
126615,2003,3693579.0,All ages
188025,2004,3725738.0,All ages
249435,2005,3754003.0,All ages
310845,2006,3787447.0,All ages
372255,2007,3820627.0,All ages
433665,2008,3859334.0,All ages
495075,2009,3907597.0,All ages
556485,2010,3953773.0,All ages
617895,2011,3994492.0,All ages
679305,2012,4031655.0,All ages
740715,2013,4066332.0,All ages
802125,2014,4093501.0,All ages
863535,2015,4109712.0,All ages
924945,2016,4140425.0,All ages
986355,2017,4193207.0,All ages
1047765,2018,4264846.0,All ages
1109175,2019,4334308.0,All ages
1170585,2020,4366487.0,All ages
1231995,2021,4340642.0,All ages
1293405,2022,4378796.0,All ages
