,REF_DATE,VALUE,Age group
40365,2001,34220.0,All ages
101775,2002,34141.0,All ages
163185,2003,34421.0,All ages
224595,2004,34602.0,All ages
286005,2005,34352.0,All ages
347415,2006,34074.0,All ages
408825,2007,34208.0,All ages
470235,2008,34597.0,All ages
531645,2009,34920.0,All ages
593055,2010,35072.0,All ages
654465,2011,35341.0,All ages
715875,2012,35557.0,All ages
777285,2013,35600.0,All ages
838695,2014,35696.0,All ages
900105,2015,35723.0,All ages
961515,2016,36108.0,All ages
1022925,2017,36267.0,All ages
1084335,2018,36336.0,All ages
1145745,2019,36001.0,All ages
1207155,2020,35721.0,All ages
1268565,2021,35388.0,All ages
1329975,2022,35361.0,All ages
