,REF_DATE,VALUE,Age group
48645,2001,17488.0,All ages
110055,2002,17260.0,All ages
171465,2003,17120.0,All ages
232875,2004,17086.0,All ages
294285,2005,17083.0,All ages
355695,2006,17187.0,All ages
417105,2007,17473.0,All ages
478515,2008,17773.0,All ages
539925,2009,17992.0,All ages
601335,2010,18175.0,All ages
662745,2011,18310.0,All ages
724155,2012,18339.0,All ages
785565,2013,18502.0,All ages
846975,2014,18614.0,All ages
908385,2015,18882.0,All ages
969795,2016,19122.0,All ages
1031205,2017,19209.0,All ages
1092615,2018,19412.0,All ages
1154025,2019,19646.0,All ages
1215435,2020,19901.0,All ages
1276845,2021,20071.0,All ages
1338255,2022,20254.0,All ages
