,REF_DATE,VALUE,Age group
16905,2001,37734.0,All ages
78315,2002,37550.0,All ages
139725,2003,37570.0,All ages
201135,2004,37547.0,All ages
262545,2005,37455.0,All ages
323955,2006,37172.0,All ages
385365,2007,36765.0,All ages
446775,2008,36571.0,All ages
508185,2009,36594.0,All ages
569595,2010,36621.0,All ages
631005,2011,36574.0,All ages
692415,2012,36303.0,All ages
753825,2013,35957.0,All ages
815235,2014,35661.0,All ages
876645,2015,35282.0,All ages
938055,2016,35053.0,All ages
999465,2017,34958.0,All ages
1060875,2018,34863.0,All ages
1122285,2019,34854.0,All ages
1183695,2020,34950.0,All ages
1245105,2021,35250.0,All ages
1306515,2022,35717.0,All ages
