,REF_DATE,VALUE,Age group
41055,2001,19056.0,All ages
102465,2002,18914.0,All ages
163875,2003,18783.0,All ages
225285,2004,18614.0,All ages
286695,2005,18340.0,All ages
348105,2006,18198.0,All ages
409515,2007,18357.0,All ages
470925,2008,18662.0,All ages
532335,2009,19047.0,All ages
593745,2010,19317.0,All ages
655155,2011,19381.0,All ages
716565,2012,19567.0,All ages
777975,2013,19802.0,All ages
839385,2014,19879.0,All ages
900795,2015,19935.0,All ages
962205,2016,20193.0,All ages
1023615,2017,20092.0,All ages
1085025,2018,19901.0,All ages
1146435,2019,19643.0,All ages
1207845,2020,19414.0,All ages
1269255,2021,19302.0,All ages
1330665,2022,19416.0,All ages
