,REF_DATE,VALUE,Age group
36570,2001,72962.0,All ages
97980,2002,73256.0,All ages
159390,2003,73460.0,All ages
220800,2004,73595.0,All ages
282210,2005,74091.0,All ages
343620,2006,74361.0,All ages
405030,2007,74134.0,All ages
466440,2008,74158.0,All ages
527850,2009,74133.0,All ages
589260,2010,74411.0,All ages
650670,2011,74461.0,All ages
712080,2012,74083.0,All ages
773490,2013,73560.0,All ages
834900,2014,73190.0,All ages
896310,2015,72786.0,All ages
957720,2016,72358.0,All ages
1019130,2017,73190.0,All ages
1080540,2018,73551.0,All ages
1141950,2019,73620.0,All ages
1203360,2020,73919.0,All ages
1264770,2021,74503.0,All ages
1326180,2022,77037.0,All ages
