,REF_DATE,VALUE,Age group
35880,2001,30221.0,All ages
97290,2002,30575.0,All ages
158700,2003,30916.0,All ages
220110,2004,31181.0,All ages
281520,2005,31404.0,All ages
342930,2006,31334.0,All ages
404340,2007,31374.0,All ages
465750,2008,31396.0,All ages
527160,2009,31330.0,All ages
588570,2010,31408.0,All ages
649980,2011,31423.0,All ages
711390,2012,31793.0,All ages
772800,2013,31700.0,All ages
834210,2014,32049.0,All ages
895620,2015,32118.0,All ages
957030,2016,31937.0,All ages
1018440,2017,32577.0,All ages
1079850,2018,32950.0,All ages
1141260,2019,33486.0,All ages
1202670,2020,34041.0,All ages
1264080,2021,34650.0,All ages
1325490,2022,35272.0,All ages
