,REF_DATE,VALUE,Age group
4140,2001,1127684.0,All ages
4485,2001,854593.0,All ages
4830,2001,273091.0,All ages
65550,2002,1144036.0,All ages
65895,2002,867412.0,All ages
66240,2002,276624.0,All ages
126960,2003,1159243.0,All ages
127305,2003,877683.0,All ages
127650,2003,281560.0,All ages
188370,2004,1170640.0,All ages
188715,2004,884435.0,All ages
189060,2004,286205.0,All ages
249780,2005,1181489.0,All ages
250125,2005,891423.0,All ages
250470,2005,290066.0,All ages
311190,2006,1189979.0,All ages
311535,2006,896678.0,All ages
311880,2006,293301.0,All ages
372600,2007,1205632.0,All ages
372945,2007,907573.0,All ages
373290,2007,298059.0,All ages
434010,2008,1225487.0,All ages
434355,2008,921850.0,All ages
434700,2008,303637.0,All ages
495420,2009,1246116.0,All ages
495765,2009,936513.0,All ages
496110,2009,309603.0,All ages
556830,2010,1268687.0,All ages
557175,2010,952773.0,All ages
557520,2010,315914.0,All ages
618240,2011,1288388.0,All ages
618585,2011,966571.0,All ages
618930,2011,321817.0,All ages
679650,2012,1303562.0,All ages
679995,2012,978709.0,All ages
680340,2012,324853.0,All ages
741060,2013,1315160.0,All ages
741405,2013,988064.0,All ages
741750,2013,327096.0,All ages
802470,2014,1326612.0,All ages
802815,2014,997494.0,All ages
803160,2014,329118.0,All ages
863880,2015,1337305.0,All ages
864225,2015,1006491.0,All ages
864570,2015,330814.0,All ages
925290,2016,1358100.0,All ages
925635,2016,1023678.0,All ages
925980,2016,334422.0,All ages
986700,2017,1384897.0,All ages
987045,2017,1047447.0,All ages
987390,2017,337450.0,All ages
1048110,2018,1411032.0,All ages
1048455,2018,1069895.0,All ages
1048800,2018,341137.0,All ages
1109520,2019,1438015.0,All ages
1109865,2019,1092267.0,All ages
1110210,2019,345748.0,All ages
1170930,2020,1462582.0,All ages
1171275,2020,1113242.0,All ages
1171620,2020,349340.0,All ages
1232340,2021,1474077.0,All ages
1232685,2021,1122589.0,All ages
1233030,2021,351488.0,All ages
1293750,2022,1498610.0,All ages
1294095,2022,1143407.0,All ages
1294440,2022,355203.0,All ages
