,REF_DATE,VALUE,Age group
35190,2001,32829.0,All ages
96600,2002,32983.0,All ages
158010,2003,33210.0,All ages
219420,2004,33322.0,All ages
280830,2005,33395.0,All ages
342240,2006,33339.0,All ages
403650,2007,33215.0,All ages
465060,2008,33187.0,All ages
526470,2009,33093.0,All ages
587880,2010,33041.0,All ages
649290,2011,32868.0,All ages
710700,2012,32665.0,All ages
772110,2013,32628.0,All ages
833520,2014,32676.0,All ages
894930,2015,32617.0,All ages
956340,2016,32591.0,All ages
1017750,2017,32887.0,All ages
1079160,2018,33301.0,All ages
1140570,2019,33656.0,All ages
1201980,2020,34017.0,All ages
1263390,2021,34299.0,All ages
1324800,2022,34606.0,All ages
