,REF_DATE,VALUE,Age group
48990,2001,41330.0,All ages
110400,2002,41559.0,All ages
171810,2003,41772.0,All ages
233220,2004,42134.0,All ages
294630,2005,42285.0,All ages
356040,2006,42251.0,All ages
417450,2007,42607.0,All ages
478860,2008,42967.0,All ages
540270,2009,42913.0,All ages
601680,2010,42855.0,All ages
663090,2011,42926.0,All ages
724500,2012,43220.0,All ages
785910,2013,43552.0,All ages
847320,2014,43910.0,All ages
908730,2015,44343.0,All ages
970140,2016,45017.0,All ages
1031550,2017,45540.0,All ages
1092960,2018,46020.0,All ages
1154370,2019,46501.0,All ages
1215780,2020,46956.0,All ages
1277190,2021,47176.0,All ages
1338600,2022,47449.0,All ages
