,REF_DATE,VALUE,Age group
30360,2001,15121.0,All ages
91770,2002,15084.0,All ages
153180,2003,15120.0,All ages
214590,2004,15173.0,All ages
276000,2005,15200.0,All ages
337410,2006,15419.0,All ages
398820,2007,15700.0,All ages
460230,2008,15985.0,All ages
521640,2009,16187.0,All ages
583050,2010,16414.0,All ages
644460,2011,16664.0,All ages
705870,2012,16660.0,All ages
767280,2013,16997.0,All ages
828690,2014,17509.0,All ages
890100,2015,17692.0,All ages
951510,2016,17853.0,All ages
1012920,2017,17998.0,All ages
1074330,2018,18328.0,All ages
1135740,2019,18832.0,All ages
1197150,2020,19360.0,All ages
1258560,2021,19773.0,All ages
1319970,2022,19902.0,All ages
