,REF_DATE,VALUE,Age group
5865,2001,115316.0,All ages
67275,2002,116673.0,All ages
128685,2003,117799.0,All ages
190095,2004,118722.0,All ages
251505,2005,119775.0,All ages
312915,2006,120631.0,All ages
374325,2007,120672.0,All ages
435735,2008,121059.0,All ages
497145,2009,121064.0,All ages
558555,2010,121921.0,All ages
619965,2011,122159.0,All ages
681375,2012,122458.0,All ages
742785,2013,122909.0,All ages
804195,2014,122705.0,All ages
865605,2015,123158.0,All ages
927015,2016,124845.0,All ages
988425,2017,127162.0,All ages
1049835,2018,130256.0,All ages
1111245,2019,130993.0,All ages
1172655,2020,131665.0,All ages
1234065,2021,132355.0,All ages
1295475,2022,135005.0,All ages
