,REF_DATE,VALUE,Age group
0,2001,31020902.0,All ages
61410,2002,31360079.0,All ages
122820,2003,31644028.0,All ages
184230,2004,31940655.0,All ages
245640,2005,32243753.0,All ages
307050,2006,32571174.0,All ages
368460,2007,32889025.0,All ages
429870,2008,33247118.0,All ages
491280,2009,33628895.0,All ages
552690,2010,34004889.0,All ages
614100,2011,34339328.0,All ages
675510,2012,34714222.0,All ages
736920,2013,35082954.0,All ages
798330,2014,35437435.0,All ages
859740,2015,35702908.0,All ages
921150,2016,36109487.0,All ages
982560,2017,36545236.0,All ages
1043970,2018,37065084.0,All ages
1105380,2019,37601230.0,All ages
1166790,2020,38007166.0,All ages
1228200,2021,38226498.0,All ages
1289610,2022,38929902.0,All ages
