,REF_DATE,VALUE,Age group
53130,2001,17282.0,All ages
114540,2002,16993.0,All ages
175950,2003,16831.0,All ages
237360,2004,16775.0,All ages
298770,2005,16812.0,All ages
360180,2006,16894.0,All ages
421590,2007,17038.0,All ages
483000,2008,17093.0,All ages
544410,2009,17019.0,All ages
605820,2010,16989.0,All ages
667230,2011,16882.0,All ages
728640,2012,16863.0,All ages
790050,2013,16953.0,All ages
851460,2014,17045.0,All ages
912870,2015,17071.0,All ages
974280,2016,17342.0,All ages
1035690,2017,17460.0,All ages
1097100,2018,17537.0,All ages
1158510,2019,17556.0,All ages
1219920,2020,17668.0,All ages
1281330,2021,17773.0,All ages
1342740,2022,17931.0,All ages
