,REF_DATE,VALUE,Age group
54855,2001,88480.0,All ages
116265,2002,87021.0,All ages
177675,2003,85664.0,All ages
239085,2004,85222.0,All ages
300495,2005,85414.0,All ages
361905,2006,85933.0,All ages
423315,2007,86694.0,All ages
484725,2008,86682.0,All ages
546135,2009,85902.0,All ages
607545,2010,85890.0,All ages
668955,2011,86230.0,All ages
730365,2012,86842.0,All ages
791775,2013,87834.0,All ages
853185,2014,88534.0,All ages
914595,2015,89455.0,All ages
976005,2016,90623.0,All ages
1037415,2017,91993.0,All ages
1098825,2018,93706.0,All ages
1160235,2019,94984.0,All ages
1221645,2020,96045.0,All ages
1283055,2021,95947.0,All ages
1344465,2022,96207.0,All ages
