,REF_DATE,VALUE,Age group
54165,2001,15896.0,All ages
115575,2002,15376.0,All ages
176985,2003,14892.0,All ages
238395,2004,14469.0,All ages
299805,2005,14097.0,All ages
361215,2006,13743.0,All ages
422625,2007,13654.0,All ages
484035,2008,13658.0,All ages
545445,2009,13545.0,All ages
606855,2010,13466.0,All ages
668265,2011,13308.0,All ages
729675,2012,13312.0,All ages
791085,2013,13302.0,All ages
852495,2014,13291.0,All ages
913905,2015,13297.0,All ages
975315,2016,13243.0,All ages
1036725,2017,13328.0,All ages
1098135,2018,13412.0,All ages
1159545,2019,13502.0,All ages
1220955,2020,13593.0,All ages
1282365,2021,13761.0,All ages
1343775,2022,13828.0,All ages
