,REF_DATE,VALUE,Age group
45540,2001,70336.0,All ages
106950,2002,73101.0,All ages
168360,2003,75774.0,All ages
229770,2004,78570.0,All ages
291180,2005,82241.0,All ages
352590,2006,86636.0,All ages
414000,2007,89085.0,All ages
475410,2008,90978.0,All ages
536820,2009,92552.0,All ages
598230,2010,93272.0,All ages
659640,2011,94124.0,All ages
721050,2012,96878.0,All ages
782460,2013,99564.0,All ages
843870,2014,101734.0,All ages
905280,2015,102809.0,All ages
966690,2016,103481.0,All ages
1028100,2017,103302.0,All ages
1089510,2018,104314.0,All ages
1150920,2019,105110.0,All ages
1212330,2020,105500.0,All ages
1273740,2021,105604.0,All ages
1335150,2022,107073.0,All ages
