,REF_DATE,VALUE,Age group
10695,2001,198077.0,All ages
72105,2002,197876.0,All ages
133515,2003,198853.0,All ages
194925,2004,199806.0,All ages
256335,2005,199943.0,All ages
317745,2006,201093.0,All ages
379155,2007,203144.0,All ages
440565,2008,206077.0,All ages
501975,2009,210464.0,All ages
563385,2010,214480.0,All ages
624795,2011,218657.0,All ages
686205,2012,225232.0,All ages
747615,2013,231044.0,All ages
809025,2014,235876.0,All ages
870435,2015,239403.0,All ages
931845,2016,245228.0,All ages
993255,2017,251167.0,All ages
1054665,2018,256317.0,All ages
1116075,2019,260914.0,All ages
1177485,2020,263236.0,All ages
1238895,2021,264375.0,All ages
1300305,2022,268804.0,All ages
