,REF_DATE,VALUE,Age group
22770,2001,28729.0,All ages
84180,2002,28971.0,All ages
145590,2003,29108.0,All ages
207000,2004,29388.0,All ages
268410,2005,29651.0,All ages
329820,2006,29915.0,All ages
391230,2007,30178.0,All ages
452640,2008,30462.0,All ages
514050,2009,30787.0,All ages
575460,2010,31084.0,All ages
636870,2011,31519.0,All ages
698280,2012,31778.0,All ages
759690,2013,31965.0,All ages
821100,2014,32210.0,All ages
882510,2015,32476.0,All ages
943920,2016,32666.0,All ages
1005330,2017,32851.0,All ages
1066740,2018,33259.0,All ages
1128150,2019,33519.0,All ages
1189560,2020,33671.0,All ages
1250970,2021,33752.0,All ages
1312380,2022,33975.0,All ages
