,REF_DATE,VALUE,Age group
11040,2001,232516.0,All ages
72450,2002,234263.0,All ages
133860,2003,235867.0,All ages
195270,2004,238203.0,All ages
256680,2005,239696.0,All ages
318090,2006,241931.0,All ages
379500,2007,246052.0,All ages
440910,2008,251481.0,All ages
502320,2009,257960.0,All ages
563730,2010,264665.0,All ages
625140,2011,271728.0,All ages
686550,2012,280765.0,All ages
747960,2013,287960.0,All ages
809370,2014,294216.0,All ages
870780,2015,299349.0,All ages
932190,2016,307367.0,All ages
993600,2017,315702.0,All ages
1055010,2018,323148.0,All ages
1116420,2019,330413.0,All ages
1177830,2020,336850.0,All ages
1239240,2021,339870.0,All ages
1300650,2022,347536.0,All ages
