,REF_DATE,VALUE,Age group
24150,2001,56991.0,All ages
85560,2002,56473.0,All ages
146970,2003,56338.0,All ages
208380,2004,56333.0,All ages
269790,2005,56258.0,All ages
331200,2006,56176.0,All ages
392610,2007,56128.0,All ages
454020,2008,55860.0,All ages
515430,2009,55471.0,All ages
576840,2010,55145.0,All ages
638250,2011,54775.0,All ages
699660,2012,54671.0,All ages
761070,2013,54610.0,All ages
822480,2014,54481.0,All ages
883890,2015,54261.0,All ages
945300,2016,54293.0,All ages
1006710,2017,54265.0,All ages
1068120,2018,54314.0,All ages
1129530,2019,54477.0,All ages
1190940,2020,54977.0,All ages
1252350,2021,55972.0,All ages
1313760,2022,56876.0,All ages
