,REF_DATE,VALUE,Age group
25530,2001,41686.0,All ages
86940,2002,41440.0,All ages
148350,2003,41479.0,All ages
209760,2004,41398.0,All ages
271170,2005,41331.0,All ages
332580,2006,41102.0,All ages
393990,2007,41307.0,All ages
455400,2008,41432.0,All ages
516810,2009,41504.0,All ages
578220,2010,41639.0,All ages
639630,2011,41784.0,All ages
701040,2012,41698.0,All ages
762450,2013,41659.0,All ages
823860,2014,41776.0,All ages
885270,2015,41705.0,All ages
946680,2016,41706.0,All ages
1008090,2017,41629.0,All ages
1069500,2018,41614.0,All ages
1130910,2019,41738.0,All ages
1192320,2020,42125.0,All ages
1253730,2021,42565.0,All ages
1315140,2022,43038.0,All ages
