,REF_DATE,VALUE,Age group
7245,2001,391844.0,All ages
68655,2002,394502.0,All ages
130065,2003,396817.0,All ages
191475,2004,399702.0,All ages
252885,2005,401750.0,All ages
314295,2006,404032.0,All ages
375705,2007,402845.0,All ages
437115,2008,401785.0,All ages
498525,2009,401517.0,All ages
559935,2010,402182.0,All ages
621345,2011,402623.0,All ages
682755,2012,404504.0,All ages
744165,2013,405870.0,All ages
805575,2014,407835.0,All ages
866985,2015,410971.0,All ages
928395,2016,416384.0,All ages
989805,2017,422407.0,All ages
1051215,2018,428383.0,All ages
1112625,2019,433955.0,All ages
1174035,2020,437080.0,All ages
1235445,2021,441452.0,All ages
1296855,2022,450501.0,All ages
