,REF_DATE,VALUE,Age group
38640,2001,9517.0,All ages
100050,2002,9826.0,All ages
161460,2003,10135.0,All ages
222870,2004,10533.0,All ages
284280,2005,10944.0,All ages
345690,2006,11475.0,All ages
407100,2007,11952.0,All ages
468510,2008,12404.0,All ages
529920,2009,12950.0,All ages
591330,2010,13397.0,All ages
652740,2011,13984.0,All ages
714150,2012,14843.0,All ages
775560,2013,15688.0,All ages
836970,2014,16015.0,All ages
898380,2015,15531.0,All ages
959790,2016,16232.0,All ages
1021200,2017,16256.0,All ages
1082610,2018,16126.0,All ages
1144020,2019,15818.0,All ages
1205430,2020,15744.0,All ages
1266840,2021,15744.0,All ages
1328250,2022,15997.0,All ages
