,REF_DATE,VALUE,Age group
40710,2001,16865.0,All ages
102120,2002,16737.0,All ages
163530,2003,16791.0,All ages
224940,2004,16913.0,All ages
286350,2005,16867.0,All ages
347760,2006,16937.0,All ages
409170,2007,17006.0,All ages
470580,2008,17286.0,All ages
531990,2009,17575.0,All ages
593400,2010,17936.0,All ages
654810,2011,18010.0,All ages
716220,2012,18215.0,All ages
777630,2013,18435.0,All ages
839040,2014,18635.0,All ages
900450,2015,18871.0,All ages
961860,2016,19099.0,All ages
1023270,2017,19274.0,All ages
1084680,2018,19392.0,All ages
1146090,2019,19461.0,All ages
1207500,2020,19363.0,All ages
1268910,2021,19311.0,All ages
1330320,2022,19438.0,All ages
