,REF_DATE,VALUE,Age group
45885,2001,8236.0,All ages
107295,2002,8756.0,All ages
168705,2003,9273.0,All ages
230115,2004,9815.0,All ages
291525,2005,10502.0,All ages
352935,2006,11209.0,All ages
414345,2007,11721.0,All ages
475755,2008,12156.0,All ages
537165,2009,12565.0,All ages
598575,2010,12947.0,All ages
659985,2011,13316.0,All ages
721395,2012,14029.0,All ages
782805,2013,14692.0,All ages
844215,2014,15181.0,All ages
905625,2015,15655.0,All ages
967035,2016,15791.0,All ages
1028445,2017,15648.0,All ages
1089855,2018,15752.0,All ages
1151265,2019,15874.0,All ages
1212675,2020,15860.0,All ages
1274085,2021,16029.0,All ages
1335495,2022,16477.0,All ages
