,REF_DATE,VALUE,Age group
23115,2001,29858.0,All ages
84525,2002,29579.0,All ages
145935,2003,29241.0,All ages
207345,2004,29417.0,All ages
268755,2005,29278.0,All ages
330165,2006,29136.0,All ages
391575,2007,28947.0,All ages
452985,2008,28866.0,All ages
514395,2009,28941.0,All ages
575805,2010,28949.0,All ages
637215,2011,29077.0,All ages
698625,2012,28933.0,All ages
760035,2013,28768.0,All ages
821445,2014,28630.0,All ages
882855,2015,28479.0,All ages
944265,2016,28500.0,All ages
1005675,2017,28647.0,All ages
1067085,2018,28731.0,All ages
1128495,2019,28695.0,All ages
1189905,2020,28875.0,All ages
1251315,2021,29103.0,All ages
1312725,2022,29290.0,All ages
