,REF_DATE,VALUE,Age group
32775,2001,14593.0,All ages
94185,2002,14724.0,All ages
155595,2003,14903.0,All ages
217005,2004,15047.0,All ages
278415,2005,15240.0,All ages
339825,2006,15329.0,All ages
401235,2007,15341.0,All ages
462645,2008,15406.0,All ages
524055,2009,15449.0,All ages
585465,2010,15580.0,All ages
646875,2011,15686.0,All ages
708285,2012,16117.0,All ages
769695,2013,16133.0,All ages
831105,2014,16216.0,All ages
892515,2015,16168.0,All ages
953925,2016,16228.0,All ages
1015335,2017,16647.0,All ages
1076745,2018,16804.0,All ages
1138155,2019,17227.0,All ages
1199565,2020,17404.0,All ages
1260975,2021,17722.0,All ages
1322385,2022,18252.0,All ages
