,REF_DATE,VALUE,Age group
37260,2001,45901.0,All ages
98670,2002,45321.0,All ages
160080,2003,44952.0,All ages
221490,2004,44820.0,All ages
282900,2005,44691.0,All ages
344310,2006,44606.0,All ages
405720,2007,44514.0,All ages
467130,2008,44343.0,All ages
528540,2009,44290.0,All ages
589950,2010,44361.0,All ages
651360,2011,44373.0,All ages
712770,2012,44323.0,All ages
774180,2013,44165.0,All ages
835590,2014,43782.0,All ages
897000,2015,43174.0,All ages
958410,2016,42922.0,All ages
1019820,2017,42659.0,All ages
1081230,2018,42550.0,All ages
1142640,2019,42937.0,All ages
1204050,2020,42866.0,All ages
1265460,2021,42427.0,All ages
1326870,2022,42675.0,All ages
