,REF_DATE,VALUE,Age group
6555,2001,4882618.0,All ages
67965,2002,5002533.0,All ages
129375,2003,5081464.0,All ages
190785,2004,5162061.0,All ages
252195,2005,5241407.0,All ages
313605,2006,5334382.0,All ages
375015,2007,5415765.0,All ages
436425,2008,5501325.0,All ages
497835,2009,5588312.0,All ages
559245,2010,5681126.0,All ages
620655,2011,5768001.0,All ages
682065,2012,5852841.0,All ages
743475,2013,5931697.0,All ages
804885,2014,5998737.0,All ages
866295,2015,6045240.0,All ages
927705,2016,6125013.0,All ages
989115,2017,6217328.0,All ages
1050525,2018,6337780.0,All ages
1111935,2019,6462898.0,All ages
1173345,2020,6543886.0,All ages
1234755,2021,6547381.0,All ages
1296165,2022,6685621.0,All ages
