,REF_DATE,VALUE,Age group
13110,2001,2074568.0,All ages
74520,2002,2098557.0,All ages
135930,2003,2116185.0,All ages
197340,2004,2134020.0,All ages
258750,2005,2159646.0,All ages
320160,2006,2188743.0,All ages
381570,2007,2216948.0,All ages
442980,2008,2253672.0,All ages
504390,2009,2301469.0,All ages
565800,2010,2344847.0,All ages
627210,2011,2374642.0,All ages
688620,2012,2418938.0,All ages
750030,2013,2459426.0,All ages
811440,2014,2507414.0,All ages
872850,2015,2544484.0,All ages
934260,2016,2582202.0,All ages
995670,2017,2616904.0,All ages
1057080,2018,2658582.0,All ages
1118490,2019,2709277.0,All ages
1179900,2020,2743765.0,All ages
1241310,2021,2764932.0,All ages
1302720,2022,2842730.0,All ages
