,REF_DATE,VALUE,Age group
49335,2001,53761.0,All ages
110745,2002,54112.0,All ages
172155,2003,54753.0,All ages
233565,2004,55467.0,All ages
294975,2005,56463.0,All ages
356385,2006,56837.0,All ages
417795,2007,57637.0,All ages
479205,2008,58582.0,All ages
540615,2009,59157.0,All ages
602025,2010,59430.0,All ages
663435,2011,59477.0,All ages
724845,2012,60128.0,All ages
786255,2013,60484.0,All ages
847665,2014,61479.0,All ages
909075,2015,62421.0,All ages
970485,2016,63615.0,All ages
1031895,2017,64511.0,All ages
1093305,2018,65033.0,All ages
1154715,2019,65920.0,All ages
1216125,2020,66950.0,All ages
1277535,2021,67694.0,All ages
1338945,2022,68961.0,All ages
