,REF_DATE,VALUE,Age group
47955,2001,11412.0,All ages
109365,2002,11550.0,All ages
170775,2003,11638.0,All ages
232185,2004,11734.0,All ages
293595,2005,11927.0,All ages
355005,2006,12056.0,All ages
416415,2007,12252.0,All ages
477825,2008,12422.0,All ages
539235,2009,12598.0,All ages
600645,2010,12722.0,All ages
662055,2011,12897.0,All ages
723465,2012,13095.0,All ages
784875,2013,13173.0,All ages
846285,2014,13161.0,All ages
907695,2015,12880.0,All ages
969105,2016,12994.0,All ages
1030515,2017,13122.0,All ages
1091925,2018,13146.0,All ages
1153335,2019,13097.0,All ages
1214745,2020,12981.0,All ages
1276155,2021,12873.0,All ages
1337565,2022,12935.0,All ages
