,REF_DATE,VALUE,Age group
42090,2001,9770.0,All ages
103500,2002,9739.0,All ages
164910,2003,9738.0,All ages
226320,2004,9689.0,All ages
287730,2005,9655.0,All ages
349140,2006,9661.0,All ages
410550,2007,9767.0,All ages
471960,2008,10009.0,All ages
533370,2009,10280.0,All ages
594780,2010,10564.0,All ages
656190,2011,10770.0,All ages
717600,2012,10922.0,All ages
779010,2013,11090.0,All ages
840420,2014,11213.0,All ages
901830,2015,11203.0,All ages
963240,2016,11201.0,All ages
1024650,2017,11261.0,All ages
1086060,2018,11253.0,All ages
1147470,2019,11195.0,All ages
1208880,2020,11213.0,All ages
1270290,2021,11150.0,All ages
1331700,2022,11143.0,All ages
