,REF_DATE,VALUE,Age group
55890,2001,22507.0,All ages
117300,2002,22677.0,All ages
178710,2003,23180.0,All ages
240120,2004,23620.0,All ages
301530,2005,24000.0,All ages
362940,2006,24354.0,All ages
424350,2007,24624.0,All ages
485760,2008,25119.0,All ages
547170,2009,25694.0,All ages
608580,2010,26483.0,All ages
669990,2011,27230.0,All ages
731400,2012,28055.0,All ages
792810,2013,28340.0,All ages
854220,2014,28973.0,All ages
915630,2015,29551.0,All ages
977040,2016,30322.0,All ages
1038450,2017,31203.0,All ages
1099860,2018,31998.0,All ages
1161270,2019,32762.0,All ages
1222680,2020,33662.0,All ages
1284090,2021,34693.0,All ages
1345500,2022,35372.0,All ages
