,REF_DATE,VALUE,Age group
53475,2001,20630.0,All ages
114885,2002,20153.0,All ages
176295,2003,19772.0,All ages
237705,2004,19490.0,All ages
299115,2005,19336.0,All ages
360525,2006,19327.0,All ages
421935,2007,19384.0,All ages
483345,2008,19432.0,All ages
544755,2009,19209.0,All ages
606165,2010,18987.0,All ages
667575,2011,18841.0,All ages
728985,2012,18858.0,All ages
790395,2013,18816.0,All ages
851805,2014,19044.0,All ages
913215,2015,18992.0,All ages
974625,2016,19049.0,All ages
1036035,2017,19009.0,All ages
1097445,2018,19211.0,All ages
1158855,2019,19313.0,All ages
1220265,2020,19398.0,All ages
1281675,2021,19459.0,All ages
1343085,2022,19596.0,All ages
