,REF_DATE,VALUE,Age group
8970,2001,320950.0,All ages
70380,2002,326732.0,All ages
131790,2003,330416.0,All ages
193200,2004,333413.0,All ages
254610,2005,335398.0,All ages
316020,2006,336314.0,All ages
377430,2007,335457.0,All ages
438840,2008,332569.0,All ages
500250,2009,329634.0,All ages
561660,2010,328520.0,All ages
623070,2011,328295.0,All ages
684480,2012,329971.0,All ages
745890,2013,334502.0,All ages
807300,2014,336369.0,All ages
868710,2015,336222.0,All ages
930120,2016,337194.0,All ages
991530,2017,340999.0,All ages
1052940,2018,348304.0,All ages
1114350,2019,352538.0,All ages
1175760,2020,353572.0,All ages
1237170,2021,351213.0,All ages
1298580,2022,359672.0,All ages
