,REF_DATE,VALUE,Age group
32430,2001,34998.0,All ages
93840,2002,35389.0,All ages
155250,2003,35909.0,All ages
216660,2004,36331.0,All ages
278070,2005,36880.0,All ages
339480,2006,37215.0,All ages
400890,2007,37351.0,All ages
462300,2008,37735.0,All ages
523710,2009,37949.0,All ages
585120,2010,38393.0,All ages
646530,2011,38894.0,All ages
707940,2012,39972.0,All ages
769350,2013,40474.0,All ages
830760,2014,41185.0,All ages
892170,2015,41493.0,All ages
953580,2016,42104.0,All ages
1014990,2017,43093.0,All ages
1076400,2018,44342.0,All ages
1137810,2019,45424.0,All ages
1199220,2020,46754.0,All ages
1260630,2021,48240.0,All ages
1322040,2022,49819.0,All ages
