,REF_DATE,VALUE,Age group
56235,2001,18150.0,All ages
117645,2002,18562.0,All ages
179055,2003,19114.0,All ages
240465,2004,19429.0,All ages
301875,2005,19430.0,All ages
363285,2006,19567.0,All ages
424695,2007,19678.0,All ages
486105,2008,19791.0,All ages
547515,2009,19733.0,All ages
608925,2010,19828.0,All ages
670335,2011,20033.0,All ages
731745,2012,20189.0,All ages
793155,2013,20232.0,All ages
854565,2014,20291.0,All ages
915975,2015,20649.0,All ages
977385,2016,21009.0,All ages
1038795,2017,21407.0,All ages
1100205,2018,21682.0,All ages
1161615,2019,22037.0,All ages
1223025,2020,22352.0,All ages
1284435,2021,22740.0,All ages
1345845,2022,22983.0,All ages
