,REF_DATE,VALUE,Age group
40020,2001,17944.0,All ages
101430,2002,17926.0,All ages
162840,2003,17838.0,All ages
224250,2004,17893.0,All ages
285660,2005,17757.0,All ages
347070,2006,17807.0,All ages
408480,2007,17913.0,All ages
469890,2008,18193.0,All ages
531300,2009,18495.0,All ages
592710,2010,18632.0,All ages
654120,2011,18662.0,All ages
715530,2012,18942.0,All ages
776940,2013,19204.0,All ages
838350,2014,19401.0,All ages
899760,2015,19257.0,All ages
961170,2016,19477.0,All ages
1022580,2017,19553.0,All ages
1083990,2018,19602.0,All ages
1145400,2019,19670.0,All ages
1206810,2020,19421.0,All ages
1268220,2021,19369.0,All ages
1329630,2022,19399.0,All ages
