,PDelta,Date,0,2
0,,2001,0,
1,,2002,0,-60.0
2,,2003,0,823.0
3,,2004,0,299.0
4,,2005,0,1893.0
5,,2006,0,1493.0
6,,2007,0,-1608.0
7,,2008,0,188.0
8,,2009,0,1381.0
9,,2010,0,2112.0
10,,2011,0,870.0
11,,2012,0,1718.0
12,,2013,0,1135.0
13,,2014,0,1143.0
14,,2015,0,1586.0
15,,2016,0,2878.0
16,3366.6666666666742,2017,0,1842.0
17,1041.6666666666715,2018,0,2557.0
18,-941.6666666666913,2019,0,4468.0
19,1691.6666666666913,2020,0,5296.0
20,11674.999999999984,2021,0,4938.0
21,5166.6666666666715,2022,0,6380.0
