,GEO,PE_rate_total,NHPI_rate_total,NI_rate_total
0,"Greater Sudbury, Ontario",6.7882589367273605,49.69173859432801,1.0038022813688212
1,"Windsor, Ontario",12.064807602430283,59.26724137931036,-49.18631178707225
2,"St. Catharines-Niagara, Ontario",14.969477649268589,112.92962356792144,99.3764258555133
3,"Trois-Rivières, Quebec",16.979342474160656,11.0,72.27376425855513
4,"Hamilton, Ontario",19.24916349622304,92.2185430463576,235.893536121673
5,"Québec, Quebec",20.358590255896857,115.1877133105802,755.8631178707225
6,"Montréal, Quebec",20.737783863507836,155.38720538720537,2948.167300380228
7,"St. John's, Newfoundland and Labrador",24.16925448239908,113.33333333333331,-16.06083650190114
8,"Winnipeg, Manitoba",25.286061250592816,210.48034934497812,92.34980988593156
9,"Sherbrooke, Quebec",25.822964031911127,11.5,143.54372623574145
10,"London, Ontario",26.73509879695697,130.56426332288402,299.13307984790873
11,"Victoria, British Columbia",29.90311053258507,50.06002400960384,220.8365019011407
12,"Halifax, Nova Scotia",30.1501413668714,84.01206636500756,45.17110266159696
13,"Guelph, Ontario",34.16968885706726,24.0,-35.133079847908746
14,"Regina, Saskatchewan",35.706821084729675,170.10582010582013,41.15589353612168
15,"Toronto, Ontario",36.926972374246766,107.168458781362,-334.2661596958175
16,"Vancouver, British Columbia",37.02756429290339,76.3411279229711,920.4866920152092
17,"Kitchener-Cambridge-Waterloo, Ontario",39.280703991837775,139.15662650602408,69.26235741444867
18,"Oshawa, Ontario",44.86813496602519,22.0,63.23954372623574
19,"Saskatoon, Saskatchewan",49.46756352251028,132.54817987152032,100.38022813688212
20,"Kelowna, British Columbia",52.6963231956423,23.40000000000001,142.53992395437265
21,"Edmonton, Alberta",57.59920614303973,116.83168316831684,767.9087452471483
22,"Calgary, Alberta",64.48999002838076,189.3271461716937,77.29277566539925
