,GEO,PE_rate_total,NHPI_rate_total,NI_rate_total,aggregated_score
0,"Toronto, Ontario",36.926972374246766,107.168458781362,-334.2661596958175,-16.23920811763152
1,"Windsor, Ontario",12.064807602430283,59.26724137931036,-49.18631178707225,13.975313857593799
2,"Guelph, Ontario",34.16968885706726,24.0,-35.133079847908746,17.258228458951876
3,"Greater Sudbury, Ontario",6.7882589367273605,49.69173859432801,1.0038022813688212,18.502411502935846
4,"Trois-Rivières, Quebec",16.979342474160656,11.0,72.27376425855513,26.244424088791355
5,"Oshawa, Ontario",44.86813496602519,22.0,63.23954372623574,41.68197622825974
6,"St. John's, Newfoundland and Labrador",24.16925448239908,113.33333333333331,-16.06083650190114,42.872459940819304
7,"Sherbrooke, Quebec",25.822964031911127,11.5,143.54372623574145,45.07022726310385
8,"Halifax, Nova Scotia",30.1501413668714,84.01206636500756,45.17110266159696,49.31291112525736
9,"St. Catharines-Niagara, Ontario",14.969477649268589,112.92962356792144,99.3764258555133,61.23891106611338
10,"Kelowna, British Columbia",52.6963231956423,23.40000000000001,142.53992395437265,61.87614638869568
11,"Victoria, British Columbia",29.90311053258507,50.06002400960384,220.8365019011407,74.13686284940184
12,"Kitchener-Cambridge-Waterloo, Ontario",39.280703991837775,139.15662650602408,69.26235741444867,75.23981143061584
13,"Regina, Saskatchewan",35.706821084729675,170.10582010582013,41.15589353612168,77.11633528133521
14,"Hamilton, Ontario",19.24916349622304,92.2185430463576,235.893536121673,84.4688518863534
15,"Saskatoon, Saskatchewan",49.46756352251028,132.54817987152032,100.38022813688212,84.57428135008766
16,"Winnipeg, Manitoba",25.286061250592816,210.48034934497807,92.34980988593156,94.25709740597614
17,"Calgary, Alberta",64.48999002838076,189.3271461716937,77.29277566539925,104.50169399877835
18,"London, Ontario",26.73509879695697,130.56426332288402,299.13307984790873,112.36344436492544
19,"Québec, Quebec",20.358590255896857,115.1877133105802,755.8631178707225,195.90823269526697
20,"Edmonton, Alberta",57.59920614303973,116.83168316831684,767.9087452471483,217.4308570714446
21,"Vancouver, British Columbia",37.02756429290339,76.3411279229711,920.4866920152092,225.51345892638489
22,"Montréal, Quebec",20.73778386350784,155.38720538720537,2948.167300380228,646.6185136239611
